card,wins
2♥ 2♦,25
2♥ 2♣,21
2♥ 2♠,18
2♥ 3♥,10
2♥ 3♦,3
2♥ 3♣,6
2♥ 3♠,7
2♥ 4♥,5
2♥ 4♦,3
2♥ 4♣,6
2♥ 4♠,6
2♥ 5♥,3
2♥ 5♦,6
2♥ 5♣,7
2♥ 5♠,5
2♥ 6♥,7
2♥ 6♦,8
2♥ 6♣,7
2♥ 6♠,6
2♥ 7♥,6
2♥ 7♦,4
2♥ 7♣,11
2♥ 7♠,8
2♥ 8♥,4
2♥ 8♦,1
2♥ 8♣,4
2♥ 8♠,5
2♥ 9♥,6
2♥ 9♦,5
2♥ 9♣,7
2♥ 9♠,9
2♥ T♥,9
2♥ T♦,3
2♥ T♣,6
2♥ T♠,3
2♥ J♥,9
2♥ J♦,5
2♥ J♣,16
2♥ J♠,4
2♥ Q♥,11
2♥ Q♦,7
2♥ Q♣,11
2♥ Q♠,4
2♥ K♥,9
2♥ K♦,7
2♥ K♣,10
2♥ K♠,15
2♥ A♥,12
2♥ A♦,11
2♥ A♣,12
2♥ A♠,6
2♦ 2♣,18
2♦ 2♠,14
2♦ 3♥,2
2♦ 3♦,7
2♦ 3♣,5
2♦ 3♠,5
2♦ 4♥,6
2♦ 4♦,6
2♦ 4♣,6
2♦ 4♠,8
2♦ 5♥,8
2♦ 5♦,7
2♦ 5♣,8
2♦ 5♠,8
2♦ 6♥,8
2♦ 6♦,5
2♦ 6♣,9
2♦ 6♠,6
2♦ 7♥,9
2♦ 7♦,7
2♦ 7♣,4
2♦ 7♠,6
2♦ 8♥,6
2♦ 8♦,13
2♦ 8♣,6
2♦ 8♠,7
2♦ 9♥,5
2♦ 9♦,12
2♦ 9♣,6
2♦ 9♠,9
2♦ T♥,12
2♦ T♦,9
2♦ T♣,6
2♦ T♠,6
2♦ J♥,7
2♦ J♦,10
2♦ J♣,11
2♦ J♠,9
2♦ Q♥,6
2♦ Q♦,8
2♦ Q♣,4
2♦ Q♠,6
2♦ K♥,11
2♦ K♦,10
2♦ K♣,9
2♦ K♠,12
2♦ A♥,13
2♦ A♦,16
2♦ A♣,22
2♦ A♠,10
2♣ 2♠,22
2♣ 3♥,3
2♣ 3♦,10
2♣ 3♣,15
2♣ 3♠,4
2♣ 4♥,5
2♣ 4♦,3
2♣ 4♣,7
2♣ 4♠,5
2♣ 5♥,8
2♣ 5♦,6
2♣ 5♣,9
2♣ 5♠,6
2♣ 6♥,6
2♣ 6♦,7
2♣ 6♣,12
2♣ 6♠,8
2♣ 7♥,3
2♣ 7♦,7
2♣ 7♣,6
2♣ 7♠,9
2♣ 8♥,6
2♣ 8♦,5
2♣ 8♣,13
2♣ 8♠,7
2♣ 9♥,4
2♣ 9♦,6
2♣ 9♣,11
2♣ 9♠,7
2♣ T♥,11
2♣ T♦,8
2♣ T♣,7
2♣ T♠,2
2♣ J♥,7
2♣ J♦,15
2♣ J♣,12
2♣ J♠,6
2♣ Q♥,10
2♣ Q♦,14
2♣ Q♣,12
2♣ Q♠,8
2♣ K♥,15
2♣ K♦,6
2♣ K♣,16
2♣ K♠,9
2♣ A♥,9
2♣ A♦,11
2♣ A♣,8
2♣ A♠,12
2♠ 3♥,6
2♠ 3♦,5
2♠ 3♣,4
2♠ 3♠,8
2♠ 4♥,4
2♠ 4♦,6
2♠ 4♣,6
2♠ 4♠,6
2♠ 5♥,9
2♠ 5♦,4
2♠ 5♣,8
2♠ 5♠,9
2♠ 6♥,4
2♠ 6♦,5
2♠ 6♣,6
2♠ 6♠,4
2♠ 7♥,8
2♠ 7♦,7
2♠ 7♣,6
2♠ 7♠,7
2♠ 8♥,5
2♠ 8♦,7
2♠ 8♣,5
2♠ 8♠,8
2♠ 9♥,13
2♠ 9♦,9
2♠ 9♣,3
2♠ 9♠,5
2♠ T♥,11
2♠ T♦,9
2♠ T♣,4
2♠ T♠,6
2♠ J♥,10
2♠ J♦,12
2♠ J♣,6
2♠ J♠,14
2♠ Q♥,11
2♠ Q♦,10
2♠ Q♣,9
2♠ Q♠,12
2♠ K♥,11
2♠ K♦,11
2♠ K♣,16
2♠ K♠,11
2♠ A♥,9
2♠ A♦,11
2♠ A♣,13
2♠ A♠,15
3♥ 3♦,19
