card,wins
2♥ 2♦,10
2♥ 2♣,17
2♥ 2♠,16
2♥ 3♥,11
2♥ 3♦,4
2♥ 3♣,5
2♥ 3♠,7
2♥ 4♥,12
2♥ 4♦,9
2♥ 4♣,12
2♥ 4♠,5
2♥ 5♥,9
2♥ 5♦,8
2♥ 5♣,6
2♥ 5♠,12
2♥ 6♥,13
2♥ 6♦,9
2♥ 6♣,6
2♥ 6♠,11
2♥ 7♥,11
2♥ 7♦,9
2♥ 7♣,4
2♥ 7♠,6
2♥ 8♥,11
2♥ 8♦,5
2♥ 8♣,5
2♥ 8♠,6
2♥ 9♥,13
2♥ 9♦,10
2♥ 9♣,7
2♥ 9♠,2
2♥ T♥,14
2♥ T♦,4
2♥ T♣,7
2♥ T♠,12
2♥ J♥,14
2♥ J♦,7
2♥ J♣,10
2♥ J♠,11
2♥ Q♥,19
2♥ Q♦,10
2♥ Q♣,14
2♥ Q♠,10
2♥ K♥,21
2♥ K♦,12
2♥ K♣,11
2♥ K♠,5
2♥ A♥,10
2♥ A♦,8
2♥ A♣,9
2♥ A♠,12
2♦ 2♥,10
2♦ 2♣,21
2♦ 2♠,13
2♦ 3♥,4
2♦ 3♦,7
2♦ 3♣,5
2♦ 3♠,6
2♦ 4♥,4
2♦ 4♦,6
2♦ 4♣,4
2♦ 4♠,6
2♦ 5♥,10
2♦ 5♦,11
2♦ 5♣,10
2♦ 5♠,11
2♦ 6♥,3
2♦ 6♦,8
2♦ 6♣,8
2♦ 6♠,5
2♦ 7♥,7
2♦ 7♦,12
2♦ 7♣,6
2♦ 7♠,12
2♦ 8♥,5
2♦ 8♦,17
2♦ 8♣,8
2♦ 8♠,12
2♦ 9♥,9
2♦ 9♦,13
2♦ 9♣,9
2♦ 9♠,6
2♦ T♥,12
2♦ T♦,18
2♦ T♣,11
2♦ T♠,13
2♦ J♥,6
2♦ J♦,20
2♦ J♣,12
2♦ J♠,7
2♦ Q♥,7
2♦ Q♦,16
2♦ Q♣,11
2♦ Q♠,13
2♦ K♥,8
2♦ K♦,20
2♦ K♣,9
2♦ K♠,9
2♦ A♥,11
2♦ A♦,16
2♦ A♣,6
2♦ A♠,13
2♣ 2♥,14
